Country,Cases,Daily Cases,Case Inc,3-day Case Inc, 7-day Case inc,+/- Case %, Cases per 1k,Deaths,Daily Deaths,Death Inc,3-day Death Inc, 7-day Death inc,+/- Deaths %, Deaths per 1k,Mortality,Delayed Mortality,Population 2018
SAU,1203,99,8.22943,14.1359,18.8,-4.66404,0.0356974,	4,1,25,36.1111,29.7619,6.34921,0.000118695,	1.0101,3.00752,	33699947
SDN,5,2,40,13.3333,10.4762,2.85714,0.000119613,	1,0,0,0,0,0,2.39226e-05,	0,100,	41801533
SEN,130,11,8.46154,13.0239,13.5558,-0.531851,0.00819964,	0,0,0,0,0,0,0,	0,0,	15854360
SGP,798,71,8.89724,11.3566,9.96614,1.39046,0.141523,	3,1,33.3333,11.1111,19.0476,-7.93651,0.00053204,	1.40845,1.14943,	5638676
SLV,19,6,31.5789,20.7827,20.9704,-0.187649,0.00295916,	0,0,0,0,0,0,0,	0,0,	6420744
SMR,224,1,0.446429,5.79063,5.23189,0.558741,6.63016,	22,1,4.54545,1.51515,5.61534,-4.10019,0.651177,	100,21.1538,	33785
SOM,3,0,0,27.7778,11.9048,15.873,0.000199891,	0,0,0,0,0,0,0,	0,0,	15008154
SRB,659,202,30.6525,28.5139,20.263,8.25091,0.0943844,	10,4,40,57.7778,24.7619,33.0159,0.00143224,	1.9802,13.8889,	6982084
SUR,8,0,0,0,17.381,-17.381,0.0138891,	0,0,0,0,0,0,0,	0,0,	575991
SVK,295,0,0,11.1234,9.95737,1.16602,0.0541581,	0,0,0,0,0,0,0,	0,0,	5447011
SVN,691,59,8.53835,11.608,9.64707,1.96093,0.334241,	9,0,0,29.8148,22.3016,7.51323,0.00435335,	0,3.27273,	2067372
SWE,3446,401,11.6367,13.1856,10.248,2.9376,0.338401,	102,10,9.80392,29.5714,22.8617,6.70972,0.0100165,	2.49377,8.74786,	10183175
SWZ,9,0,0,22.2222,20.2381,1.98413,0.00658376,	0,0,0,0,0,0,0,	0,0,	1367000
SXM,3,0,0,27.7778,26.1905,1.5873,0.0723136,	0,0,0,0,0,0,0,	0,0,	41486
SYC,7,0,0,0,0,0,0.0723424,	0,0,0,0,0,0,0,	0,0,	96762
SYR,5,0,0,26.6667,25.7143,0.952381,0.000295748,	0,0,0,0,0,0,0,	0,0,	16906283
TCA,5,3,60,36.6667,30,6.66667,0.158942,	0,0,0,0,0,0,0,	0,0,	31458
TCD,5,0,0,13.3333,17.619,-4.28571,0.000323044,	0,0,0,0,0,0,0,	0,0,	15477751
TGO,28,3,10.7143,13.54,13.8981,-0.358079,0.0035492,	1,0,0,33.3333,14.2857,19.0476,0.000126757,	0,100,	7889094
THA,1240,109,8.79032,9.16979,15.4553,-6.28552,0.0178601,	6,1,16.6667,12.2222,15.9524,-3.73016,8.64198e-05,	0.917431,3.48837,	69428524
TLS,1,0,0,0,14.2857,-14.2857,0.000788661,	0,0,0,0,0,0,0,	0,0,	1267972
TTO,74,8,10.8108,8.33942,17.3054,-8.96601,0.0532428,	2,0,0,50,21.4286,28.5714,0.001439,	0,28.5714,	1389858
TUN,227,0,0,19.2975,17.9361,1.36142,0.0196278,	6,0,0,18.8889,17.619,1.26984,0.000518798,	0,25,	11565204
TUR,7402,1704,23.0208,38.4488,29.352,9.09681,0.0899177,	108,16,14.8148,26.6834,28.8601,-2.17676,0.00131196,	0.938967,110.204,	82319724
TWN,282,16,5.67376,8.73514,10.0851,-1.35,0.0118585,	2,0,0,0,0,0,8.41027e-05,	0,2.63158,	23780452
TZA,13,0,0,2.5641,15.3846,-12.8205,0.000230831,	1,1,100,33.3333,14.2857,19.0476,1.77562e-05,	0,100,	56318348
UGA,30,16,53.3333,29.6825,39.7052,-10.0227,0.000702196,	0,0,0,0,0,0,0,	0,0,	42723139
UKR,311,93,29.9035,37.1906,29.9478,7.24276,0.00696958,	8,3,37.5,27.5,11.7857,15.7143,0.000179282,	3.22581,57.1429,	44622516
URY,304,66,21.7105,14.4791,13.3239,1.15515,0.0881338,	0,0,0,0,0,0,0,	0,0,	3449299
USA,124663,19979,16.0264,24.533,23.4813,1.0517,0.381037,	2191,484,22.0904,29.6212,26.6739,2.94721,0.00669688,	2.42254,34.1012,	327167434
UZB,133,29,21.8045,26.3561,17.7658,8.59026,0.00403576,	1,1,100,33.3333,14.2857,19.0476,3.0344e-05,	3.44828,6.25,	32955400
VAT,6,1,16.6667,32.2222,13.8095,18.4127,6,	0,0,0,0,0,0,0,	0,0,	1000
VCT,1,0,0,0,14.2857,-14.2857,0.00907359,	0,0,0,0,0,0,0,	0,0,	110210
VEN,119,0,0,8.38985,12.8578,-4.46797,0.0041219,	1,0,0,33.3333,14.2857,19.0476,3.46378e-05,	0,3.0303,	28870195
VGB,2,0,0,33.3333,14.2857,19.0476,0.0671096,	0,0,0,0,0,0,0,	0,0,	29802
VIR,22,3,13.6364,8.05423,17.7375,-9.6833,0.205652,	0,0,0,0,0,0,0,	0,0,	106977
VNM,221,54,24.4344,15.6385,12.5256,3.11287,0.00231316,	0,0,0,0,0,0,0,	0,0,	95540395
XKX,86,0,0,9.84457,14.9242,-5.07961,0.0466049,	1,0,0,0,14.2857,-14.2857,0.000541917,	0,5.26316,	1845300
ZAF,1187,17,1.43218,22.3856,21.9739,0.411691,0.0205436,	2,0,0,33.3333,14.2857,19.0476,3.46143e-05,	0,2.35294,	57779622
ZMB,28,12,42.8571,48.2143,25.4252,22.7891,0.00161366,	0,0,0,0,0,0,0,	0,0,	17351822
ZWE,7,2,28.5714,33.9683,21.7007,12.2676,0.000484798,	1,0,0,0,14.2857,-14.2857,6.92568e-05,	0,0,	14439018
